file,relative,table_name,columns
data\Oujda\BRK-ONE\Etat Porte.csv,Oujda\BRK-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Oujda\BRK-ONE\P.Active CLIM.csv,Oujda\BRK-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\BRK-ONE\P.Active Générale.csv,Oujda\BRK-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\BRK-ONE\Température Ambiante.csv,Oujda\BRK-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Oujda\BRK-ONE\Température Extérieure.csv,Oujda\BRK-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Oujda\GRC-ONE\Etat CLIM A.csv,Oujda\GRC-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Oujda\GRC-ONE\Etat CLIM B.csv,Oujda\GRC-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Oujda\GRC-ONE\Etat CLIM C.csv,Oujda\GRC-ONE\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Oujda\GRC-ONE\Etat CLIM D.csv,Oujda\GRC-ONE\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Oujda\GRC-ONE\Etat Porte.csv,Oujda\GRC-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Oujda\GRC-ONE\P.Active CLIM.csv,Oujda\GRC-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\GRC-ONE\P.Active Générale.csv,Oujda\GRC-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\GRC-ONE\Température Ambiante.csv,Oujda\GRC-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Oujda\GRC-ONE\Température Extérieure.csv,Oujda\GRC-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-MCO\Etat CLIM A.csv,Oujda\NAD-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-MCO\Etat CLIM B.csv,Oujda\NAD-MCO\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-MCO\Etat CLIM C.csv,Oujda\NAD-MCO\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-MCO\Etat CLIM D.csv,Oujda\NAD-MCO\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-MCO\Etat Porte.csv,Oujda\NAD-MCO\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-MCO\P.Active CLIM.csv,Oujda\NAD-MCO\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\NAD-MCO\P.Active Générale.csv,Oujda\NAD-MCO\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\NAD-MCO\Température Ambiante.csv,Oujda\NAD-MCO\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-MCO\Température Extérieure.csv,Oujda\NAD-MCO\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-ONE\Etat CLIM A.csv,Oujda\NAD-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-ONE\Etat CLIM B.csv,Oujda\NAD-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-ONE\Etat CLIM C.csv,Oujda\NAD-ONE\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-ONE\Etat CLIM D.csv,Oujda\NAD-ONE\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-ONE\Etat Porte.csv,Oujda\NAD-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-ONE\P.Active CLIM.csv,Oujda\NAD-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\NAD-ONE\P.Active Générale.csv,Oujda\NAD-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\NAD-ONE\Température Ambiante.csv,Oujda\NAD-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Oujda\NAD-ONE\Température Extérieure.csv,Oujda\NAD-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-MCO\Etat CLIM A.csv,Oujda\OUJ-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-MCO\Etat CLIM B.csv,Oujda\OUJ-MCO\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-MCO\Etat CLIM C.csv,Oujda\OUJ-MCO\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-MCO\Etat CLIM D.csv,Oujda\OUJ-MCO\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-MCO\Etat Porte.csv,Oujda\OUJ-MCO\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-MCO\P.Active CLIM.csv,Oujda\OUJ-MCO\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\OUJ-MCO\P.Active Générale.csv,Oujda\OUJ-MCO\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\OUJ-MCO\Température Ambiante.csv,Oujda\OUJ-MCO\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-MCO\Température Extérieure.csv,Oujda\OUJ-MCO\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-ONE\Etat CLIM A.csv,Oujda\OUJ-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-ONE\Etat CLIM B.csv,Oujda\OUJ-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-ONE\Etat CLIM C.csv,Oujda\OUJ-ONE\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-ONE\Etat CLIM D.csv,Oujda\OUJ-ONE\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-ONE\Etat Porte.csv,Oujda\OUJ-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-ONE\P.Active CLIM.csv,Oujda\OUJ-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\OUJ-ONE\P.Active Générale.csv,Oujda\OUJ-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Oujda\OUJ-ONE\Température Ambiante.csv,Oujda\OUJ-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Oujda\OUJ-ONE\Température Extérieure.csv,Oujda\OUJ-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-MCO\Etat CLIM A.csv,Rabat\KEN-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-MCO\Etat CLIM B.csv,Rabat\KEN-MCO\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-MCO\Etat CLIM C.csv,Rabat\KEN-MCO\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-MCO\Etat CLIM D.csv,Rabat\KEN-MCO\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-MCO\Etat CLIM E.csv,Rabat\KEN-MCO\Etat CLIM E.csv,Etat_CLIM_E,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-MCO\Etat CLIM F.csv,Rabat\KEN-MCO\Etat CLIM F.csv,Etat_CLIM_F,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-MCO\Etat Porte.csv,Rabat\KEN-MCO\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-MCO\P.Active CLIM.csv,Rabat\KEN-MCO\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\KEN-MCO\P.Active Générale.csv,Rabat\KEN-MCO\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\KEN-MCO\Température Ambiante.csv,Rabat\KEN-MCO\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-MCO\Température Extérieure.csv,Rabat\KEN-MCO\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-ONE\Etat Porte.csv,Rabat\KEN-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-ONE\P.Active CLIM.csv,Rabat\KEN-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\KEN-ONE\P.Active Générale.csv,Rabat\KEN-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\KEN-ONE\Température Ambiante.csv,Rabat\KEN-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Rabat\KEN-ONE\Température Extérieure.csv,Rabat\KEN-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-MCO\Etat CLIM A.csv,Rabat\RAB-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-MCO\Etat CLIM B.csv,Rabat\RAB-MCO\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-MCO\Etat CLIM C.csv,Rabat\RAB-MCO\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-MCO\Etat CLIM D.csv,Rabat\RAB-MCO\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-MCO\Etat Porte.csv,Rabat\RAB-MCO\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-MCO\P.Active CLIM.csv,Rabat\RAB-MCO\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\RAB-MCO\P.Active Générale.csv,Rabat\RAB-MCO\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\RAB-MCO\Température Ambiante.csv,Rabat\RAB-MCO\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-MCO\Température Extérieure.csv,Rabat\RAB-MCO\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-ONE\Etat Porte.csv,Rabat\RAB-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-ONE\P.Active CLIM.csv,Rabat\RAB-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\RAB-ONE\P.Active Générale.csv,Rabat\RAB-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\RAB-ONE\Température Ambiante.csv,Rabat\RAB-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Rabat\RAB-ONE\Température Extérieure.csv,Rabat\RAB-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Rabat\SEA-ONE\Etat Porte.csv,Rabat\SEA-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Rabat\SEA-ONE\P.Active CLIM.csv,Rabat\SEA-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\SEA-ONE\P.Active Générale.csv,Rabat\SEA-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\SEA-ONE\Température Ambiante.csv,Rabat\SEA-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Rabat\SEA-ONE\Température Extérieure.csv,Rabat\SEA-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Rabat\SIDI_SLIMANE-ONCF\Etat Porte.csv,Rabat\SIDI_SLIMANE-ONCF\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Rabat\SIDI_SLIMANE-ONCF\P.Active CLIM.csv,Rabat\SIDI_SLIMANE-ONCF\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\SIDI_SLIMANE-ONCF\P.Active Générale.csv,Rabat\SIDI_SLIMANE-ONCF\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\SIDI_SLIMANE-ONCF\Température Ambiante.csv,Rabat\SIDI_SLIMANE-ONCF\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Rabat\SIDI_SLIMANE-ONCF\Température Extérieure.csv,Rabat\SIDI_SLIMANE-ONCF\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Rabat\TIF-ONE\Etat Porte.csv,Rabat\TIF-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Rabat\TIF-ONE\P.Active CLIM.csv,Rabat\TIF-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\TIF-ONE\P.Active Générale.csv,Rabat\TIF-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\TIF-ONE\Température Ambiante.csv,Rabat\TIF-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Rabat\TIF-ONE\Température Extérieure.csv,Rabat\TIF-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Rabat\VSAT\Etat CLIM A.csv,Rabat\VSAT\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Rabat\VSAT\Etat CLIM B.csv,Rabat\VSAT\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Rabat\VSAT\Etat Porte.csv,Rabat\VSAT\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Rabat\VSAT\P.Active Générale.csv,Rabat\VSAT\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Rabat\VSAT\Température Ambiante.csv,Rabat\VSAT\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Rabat\VSAT\Température Extérieure.csv,Rabat\VSAT\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Tanger\FAR-ONE\Etat CLIM A.csv,Tanger\FAR-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Tanger\FAR-ONE\Etat CLIM B.csv,Tanger\FAR-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Tanger\FAR-ONE\Etat CLIM C.csv,Tanger\FAR-ONE\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Tanger\FAR-ONE\Etat Porte.csv,Tanger\FAR-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Tanger\FAR-ONE\P.Active CLIM.csv,Tanger\FAR-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\FAR-ONE\P.Active Générale.csv,Tanger\FAR-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\FAR-ONE\Température Ambiante.csv,Tanger\FAR-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Tanger\FAR-ONE\Température Extérieure.csv,Tanger\FAR-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-MCO\Etat CLIM A.csv,Tanger\LAR-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-MCO\Etat CLIM B.csv,Tanger\LAR-MCO\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-MCO\Etat CLIM C.csv,Tanger\LAR-MCO\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Tanger\LAR-MCO\Etat CLIM D.csv,Tanger\LAR-MCO\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
