file,relative,table_name,columns
data\Tanger\MEL-ONE\Température Extérieure.csv,Tanger\MEL-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Etat CLIM A.csv,Tanger\TAN-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Etat CLIM B.csv,Tanger\TAN-MCO\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Etat CLIM C.csv,Tanger\TAN-MCO\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Etat CLIM D.csv,Tanger\TAN-MCO\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Etat CLIM E.csv,Tanger\TAN-MCO\Etat CLIM E.csv,Etat_CLIM_E,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Etat CLIM F.csv,Tanger\TAN-MCO\Etat CLIM F.csv,Etat_CLIM_F,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Etat CLIM G.csv,Tanger\TAN-MCO\Etat CLIM G.csv,Etat_CLIM_G,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Etat CLIM H.csv,Tanger\TAN-MCO\Etat CLIM H.csv,Etat_CLIM_H,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Etat Porte.csv,Tanger\TAN-MCO\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\P.Active CLIM.csv,Tanger\TAN-MCO\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\TAN-MCO\P.Active Générale.csv,Tanger\TAN-MCO\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\TAN-MCO\Température Ambiante.csv,Tanger\TAN-MCO\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Tanger\TAN-MCO\Température Extérieure.csv,Tanger\TAN-MCO\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-MCO\Etat CLIM A.csv,Tanger\TET-MCO\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-MCO\Etat CLIM B.csv,Tanger\TET-MCO\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-MCO\Etat Porte.csv,Tanger\TET-MCO\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-MCO\P.Active CLIM.csv,Tanger\TET-MCO\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\TET-MCO\P.Active Générale.csv,Tanger\TET-MCO\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\TET-MCO\Température Ambiante.csv,Tanger\TET-MCO\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-MCO\Température Extérieure.csv,Tanger\TET-MCO\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-ONE\Etat CLIM A.csv,Tanger\TET-ONE\Etat CLIM A.csv,Etat_CLIM_A,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-ONE\Etat CLIM B.csv,Tanger\TET-ONE\Etat CLIM B.csv,Etat_CLIM_B,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-ONE\Etat CLIM C.csv,Tanger\TET-ONE\Etat CLIM C.csv,Etat_CLIM_C,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-ONE\Etat CLIM D.csv,Tanger\TET-ONE\Etat CLIM D.csv,Etat_CLIM_D,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-ONE\Etat Porte.csv,Tanger\TET-ONE\Etat Porte.csv,Etat_Porte,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-ONE\P.Active CLIM.csv,Tanger\TET-ONE\P.Active CLIM.csv,P.Active_CLIM,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\TET-ONE\P.Active Générale.csv,Tanger\TET-ONE\P.Active Générale.csv,P.Active_Générale,Timestamp;Trend Flags;Status;Value (kW)
data\Tanger\TET-ONE\Température Ambiante.csv,Tanger\TET-ONE\Température Ambiante.csv,Température_Ambiante,Timestamp;Trend Flags;Status;Value
data\Tanger\TET-ONE\Température Extérieure.csv,Tanger\TET-ONE\Température Extérieure.csv,Température_Extérieure,Timestamp;Trend Flags;Status;Value
